Age_column,Total_column,Male_column,Female_column
0-1,15914,7957,7957
1-2,15386,7787,7599
2-3,15818,7997,7821
3-4,15391,7654,7737
4-5,14995,7615,7380
5-6,15287,7584,7703
6-7,15618,7901,7717
7-8,15282,7571,7711
8-9,15743,7864,7879
9-10,15339,7639,7700
10-11,16576,8315,8261
11-12,15353,7628,7725
12-13,14663,7338,7325
13-14,14965,7288,7677
14-15,16471,7671,8800
15-16,15946,7129,8817
16-17,15639,6797,8842
17-18,14484,6214,8270
18-19,14072,5989,8083
19-20,13611,5723,7888
20-21,14246,6420,7826
21-25,52401,23596,28805
25-30,53076,22863,30213
30-35,50327,21899,28428
35-40,45676,20220,25456
40-45,42384,19034,23350
45-50,40957,18394,22563
50-55,36556,16697,19859
55-60,31963,14614,17349
60-65,28487,12944,15543
65-70,22852,10573,12279
70-75,16031,7472,8559
75-80,9129,4322,4807
80-85,3941,1890,2051
85-90,1089,502,587
90-95,168,76,92
95-100,19,6,13
Oltre 100,6,1,5
Ignota,465,207,258
TOTALE,,,
