Age_column,Total_column,Male_column,Female_column
0-1,15859,8003,7856
1-2,15558,7870,7688
2-3,15434,7832,7602
3-4,15267,7685,7582
4-5,14904,7423,7481
5-6,14379,7179,7200
6-7,14662,7386,7276
7-8,14145,7069,7076
8-9,14275,7211,7064
9-10,13770,6853,6917
10-11,15015,7735,7280
11-12,14680,7442,7238
12-13,13877,6894,6983
13-14,13744,6870,6874
14-15,13867,7002,6865
15-16,12433,6182,6251
16-17,12306,6061,6245
17-18,11941,5909,6032
18-19,10808,5259,5549
19-20,10674,5335,5339
20-21,12025,6434,5591
21-25,43220,22967,20253
25-30,43091,20784,22307
30-35,40178,19718,20460
35-40,37600,18582,19018
40-45,34796,17525,17271
45-50,32146,16268,15878
50-55,30351,15355,14996
55-60,27704,14292,13412
60-65,24615,12691,11924
65-70,19336,10211,9125
70-75,13348,7240,6108
75-80,6747,3729,3018
80-85,2693,1500,1193
85-90,681,352,329
90-95,88,43,45
95-100,14,3,11
Oltre 100,1,1,
Ignota,492,245,217
TOTALE,646719,327135,319584
