Age_column,Total_column,Male_column,Female_column
0-1,18837,9620,9217
1-2,17625,8891,8734
2-3,18459,9414,9045
3-4,18623,9406,9217
4-5,17918,8951,8967
5-6,17628,8799,8829
6-7,17803,8987,8816
7-8,17446,8818,8628
8-9,17799,8986,8813
9-10,17402,8847,8555
10-11,18751,9439,9312
11-12,18615,9615,9000
12-13,16910,8613,8297
13-14,16954,8557,8397
14-15,17226,8646,8580
15-16,15363,7685,7678
16-17,15995,7944,8051
17-18,15165,7570,7595
18-19,13876,6795,7081
19-20,13420,6585,6835
20-21,14067,7098,6969
21-25,52861,26745,26116
25-30,55178,26661,28517
30-35,49524,23978,25546
35-40,45189,22637,22552
40-45,42259,21015,21244
45-50,40551,20506,20045
50-55,39116,19814,19302
55-60,35015,17933,17082
60-65,29043,14650,14393
65-70,23821,12312,11509
70-75,15733,8094,7639
75-80,8435,4315,4120
80-85,3442,1722,1720
85-90,974,468,506
90-95,134,50,84
95-100,15,4,11
Oltre 100,2,,2
Ignota,10522,5230,5292
TOTALE,807696,405400,402296
