Age_column,Total_column,Male_column,Female_column
0-1,2920,1465,1455
1-2,2701,1358,1343
2-3,2703,1403,1300
3-4,2748,1410,1338
4-5,2647,1344,1303
5-6,2584,1269,1315
6-7,2650,1286,1364
7-8,2604,1285,1319
8-9,2770,1411,1359
9-10,2641,1315,1326
10-11,2889,1445,1444
11-12,2756,1396,1360
12-13,2598,1250,1348
13-14,2500,1292,1208
14-15,2768,1377,1391
15-16,2684,1328,1356
16-17,2519,1210,1309
17-18,2475,1225,1250
18-19,2361,1123,1238
19-20,2438,1190,1248
20-21,2532,1350,1182
21-25,10062,5469,4593
25-30,10463,5069,5394
30-35,10094,4926,5168
35-40,9355,4645,4710
40-45,8881,4378,4503
45-50,8358,4254,4104
50-55,7541,3784,3757
55-60,6821,3436,3385
60-65,6465,3212,3253
65-70,5316,2698,2618
70-75,3779,1917,1862
75-80,2161,1104,1057
80-85,1045,511,534
85-90,361,169,192
90-95,54,25,29
95-100,9,3,6
Oltre 100,,,
Ignota,926,443,483
TOTALE,147179,73775,73404
