Age_column,Total_column,Male_column,Female_column
0-1,23599,11986,11613
1-2,21825,11030,10795
2-3,21933,11108,10825
3-4,21145,10739,10406
4-5,20890,10553,10337
5-6,20824,10447,10377
6-7,20650,10504,10146
7-8,20164,10235,9929
8-9,20571,10507,10064
9-10,19627,9858,9769
10-11,21137,10578,10559
11-12,20460,10377,10083
12-13,19784,9946,9838
13-14,20091,10133,9958
14-15,20622,10332,10290
15-16,20121,9823,10298
16-17,20250,10089,10141
17-18,20163,9828,10335
18-19,19617,9396,10221
19-20,19878,9975,9903
20-21,21106,11128,9978
21-25,82469,43420,39049
25-30,84028,41541,42487
30-35,76163,37903,38260
35-40,67614,33724,33890
40-45,61869,31151,80718
45-50,56345,28840,27505
50-55,47883,23963,23920
55-60,40637,20239,20398
60-65,83538,16109,17429
65-70,26133,12748,18385
70-75,18137,8585,9552
75-80,11023,5081,5942
80-85,5532,2553,2979
85-90,1961,858,1103
90-95,385,148,237
95-100,45,16,29
Oltre 100,7,3,4
Ignota,1846,898,948
TOTALE,1050052,526352,523700
