Age_column,Total_column,Male_column,Female_column
0-1,17065,8643,8422
1-2,15959,7990,7969
2-3,15287,7646,7641
3-4,14925,7506,7419
4-5,14479,7358,7121
5-6,14221,7260,6961
6-7,14211,7065,7146
7-8,14001,7027,6974
8-9,1398,6959,7009
9-10,13889,7057,6832
10-11,14799,7402,7397
11-12,13706,6926,6780
12-13,13130,6389,6741
13-14,12791,6080,6711
14-15,12458,5776,6682
15-16,11666,5319,6347
16-17,11571,5218,6353
17-18,11153,4911,6242
18-19,10691,4527,6164
19-20,10834,4721,6113
20-21,10672,4625,6047
21-25,40608,17454,23154
25-30,45908,20244,25664
30-35,42215,19331,22884
35-40,35696,16522,19174
40-45,31093,14395,16698
45-50,28338,13250,15088
50-55,26382,12287,14095
55-60,25090,11833,13257
60-65,21524,9952,11572
65-70,17204,8245,8959
70-75,11540,5682,5858
75-80,5834,2855,2979
80-85,2299,1166,1133
85-90,578,258,320
90-95,110,33,77
95-100,9,3,6
Oltre 100,,,
Ignota,308,147,161
TOTALE,616212,290062,326150
