Age_column,Total_column,Male_column,Female_column
0-1,3827,1961,1866
1-2,3400,1680,1720
2-3,3422,1774,1648
3-4,3104,1534,1570
4-5,3161,1569,1592
5-6,3188,1623,1565
6-7,3112,1569,1543
7-8,3044,1549,1495
8-9,2838,1420,1418
9-10,2864,1394,1470
10-11,3012,1503,1509
11-12,2709,1352,1357
12-13,2741,1399,1342
13-14,2515,1218,1297
14-15,2365,1217,1148
15-16,2319,1115,1204
16-17,2106,1035,1071
17-18,2096,971,1125
18-19,1869,883,986
19-20,1986,895,1091
20-21,1911,882,1029
21-25,7383,3291,4092
25-30,8358,3493,4865
30-35,8764,3931,4833
35-40,7689,3522,4167
40-45,7432,3384,4048
45-50,6427,2886,3541
50-55,5780,2601,3179
55-60,5706,2717,2989
60-65,5035,2339,2696
65-70,4245,2021,2224
70-75,2859,1448,1411
75-80,1527,792,735
80-85,750,400,350
85-90,166,90,76
90-95,27,17,10
95-100,4,3,1
Oltre 100,,,
Ignota,187,93,94
TOTALE,129928,61571,68357
