Age_column,Total_column,Male_column,Female_column
0-1,47294,23953,23341
1-2,42396,21373,21023
2-3,41886,21185,20701
3-4,39863,20085,19778
4-5,37969,18951,19018
5-6,37560,18764,18796
6-7,36568,18283,18285
7-8,36822,18591,18231
8-9,36406,18397,18009
9-10,35231,17794,17437
10-11,36899,18406,18493
11-12,34901,17450,17451
12-13,34797,17717,17080
13-14,34458,17434,17024
14-15,35445,17958,17487
15-16,34957,17553,17404
16-17,34342,17224,17118
17-18,34247,17227,17020
18-19,32895,16400,16495
19-20,33004,16596,16408
20-21,34281,17175,17106
21-25,131195,65228,65967
25-30,149096,74621,74475
30-35,130423,65926,64497
35-40,104026,52221,51805
40-45,89810,44792,45018
45-50,80848,40568,40280
50-55,72303,35862,36441
55-60,63514,31263,32251
60-65,51733,24436,27297
65-70,39351,19101,20250
70-75,24337,11666,12671
75-80,11823,5596,6227
80-85,4133,1844,2289
85-90,938,388,550
90-95,174,67,107
95-100,20,5,15
Oltre 100,2,,2
Ignota,601,236,365
TOTALE,1726548,862336,864212
