Age_column,Total_column,Male_column,Female_column
0-1,18761,9478,9283
1-2,15877,7990,7887
2-3,14709,7308,7401
3-4,14508,7306,7202
4-5,13819,6955,6864
5-6,13227,6722,6505
6-7,12924,6555,6369
7-8,12760,6403,6357
8-9,12741,6391,6350
9-10,12027,6079,5948
10-11,12483,6326,6157
11-12,11864,6017,5847
12-13,11093,5537,5556
13-14,11020,5525,5495
14-15,10642,5090,5552
15-16,10234,4932,5302
16-17,9807,4525,5282
17-18,9488,4380,5108
18-19,8743,3926,4817
19-20,8467,3650,4817
20-21,8740,3802,4938
21-25,32497,13784,18718
25-30,36212,15991,20221
30-35,33363,15343,18020
35-40,28260,13190,15070
40-45,25089,11991,13098
45-50,22490,10908,11582
50-55,20752,10004,10748
55-60,18594,9082,9512
60-65,15577,7775,7802
65-70,12295,6220,6075
70-75,7240,3629,3611
75-80,3336,1678,1658
80-85,1107,562,545
85-90,251,133,118
90-95,43,18,25
95-100,3,2,1
Oltre 100,194,79,115
Ignota,,,
TOTALE,511237,245286,265951
