Age_column,Total_column,Male_column,Female_column
0-1,18531,9393,9138
1-2,16066,8190,7876
2-3,15531,7842,7689
3-4,14803,7486,7317
4-5,14228,7182,7046
5-6,13585,6851,6734
6-7,13517,6831,6686
7-8,13189,6765,6424
8-9,13046,6719,6327
9-10,12532,6276,6256
10-11,13033,6604,6429
11-12,12350,6220,6130
12-13,12385,6179,6206
13-14,11914,5976,5938
14-15,11876,5889,5987
15-16,11534,5667,5867
16-17,11388,5614,5774
17-18,11409,5562,5847
18-19,10305,4980,5325
19-20,9790,4804,4986
20-21,11097,5734,5363
21-25,41250,21031,20219
25-30,42769,20541,22228
30-35,38267,18617,19650
35-40,34663,17040,17623
40-45,31790,15761,16029
45-50,29426,14793,14633
50-55,26007,12832,13175
55-60,23528,11733,11795
60-65,20264,9980,10284
65-70,15682,7849,7833
70-75,10414,5228,5186
75-80,4908,2356,2552
80-85,1756,905,851
85-90,398,183,215
90-95,46,13,33
95-100,5,2,3
Oltre 100,2,1,1
Ignota,3127,1557,1570
TOTALE,596411,297186,299225
