Age_column,Total_column,Male_column,Female_column
0-1,11885,5951,5934
1-2,11349,5764,5585
2-3,11574,5854,5720
3-4,11198,5770,5428
4-5,11015,5577,5438
5-6,11094,5645,5449
6-7,11154,5569,5585
7-8,10842,5480,5362
8-9,10986,5575,5411
9-10,10947,5616,5331
10-11,11403,5646,5757
11-12,11483,5812,5671
12-13,10553,5362,5191
13-14,10355,5191,5164
14-15,11823,5658,6170
15-16,10935,5173,5762
16-17,11043,5187,5856
17-18,10409,4931,5478
18-19,9587,4444,5143
19-20,9074,4230,4844
20-21,9200,4277,4923
21-25,32872,15440,17432
25-30,35463,16961,18502
30-35,32418,15522,16891
35-40,29060,14124,14936
40-45,27552,13352,14200
45-50,26119,13064,13055
50-55,23912,11766,12146
55-60,22421,11129,11292
60-65,18670,9169,9501
65-70,15678,7965,7713
70-75,10668,5456,5212
75-80,5799,3056,2743
80-85,2300,1180,1120
85-90,632,312,320
90-95,100,48,52
95-100,8,2,6
Oltre 100,1,1,
Ignota,768,315,418
TOTALE,512340,251599,260741
