Age_column,Total_column,Male_column,Female_column
0-1,9936,5154,4782
1-2,8927,4521,4406
2-3,8451,4263,4188
3-4,8340,4147,4193
4-5,8128,4148,3980
5-6,7851,3892,3959
6-7,7865,3964,3901
7-8,7783,3959,3824
8-9,7608,3856,3752
9-10,7277,3696,3581
10-11,7581,3824,3757
11-12,7339,3758,3581
12-13,7181,3615,3566
13-14,7078,3609,3469
14-15,7176,3658,3518
15-16,6726,3377,3349
16-17,6552,3291,3261
17-18,6686,3208,3478
18-19,5943,2820,3123
19-20,5814,2841,2973
20-21,5780,2813,2967
21-25,22281,10777,11504
25-30,24991,12040,12951
30-35,21673,10680,10993
35-40,20632,10268,10364
40-45,19990,9966,10024
45-50,18467,9335,9132
50-55,15638,7840,7798
55-60,14316,7111,7205
60-65,12243,6080,6163
65-70,10428,5282,5196
70-75,7016,3579,3437
75-80,3408,1794,1614
80-85,1217,615,602
85-90,293,154,139
90-95,46,16,30
95-100,10,5,5
Oltre 100,78,39,39
Ignota,,,
TOTALE,348749,173945,174804
