Age_column,Total_column,Male_column,Female_column
0-1,9864,5020,4844
1-2,9009,4563,4446
2-3,8686,4582,4104
3-4,8615,4316,4299
4-5,8316,4260,4056
5-6,7992,4.106,3886
6-7,7956,4031,3925
7-8,7725,3976,3749
8-9,7783,4023,3760
9-10,7437,3774,3663
10-11,7681,3871,3810
11-12,7646,3740,3906
12-13,7090,3653,3437
13-14,7102,3652,3450
14-15,7133,3684,3449
15-16,6653,3336,3317
16-17,6616,3340,3276
17-18,6483,3194,3289
18-19,6142,3014,3128
19-20,6057,2998,3059
20-21,5988,3007,2981
21-25,23133,11793,11340
25-30,25234,12672,12562
30-35,22071,11144,10927
35-40,19950,10100,9850
40-45,19142,9739,9403
45-50,17852,9144,8708
50-55,14669,7510,7159
55-60,12555,6322,6233
60-65,12207,6128,6079
65-70,10800,5283,5017
70-75,7764,3929,3835
75-80,4003,1994,2009
80-85,1600,802,798
85-90,477,232,245
90-95,57,22,35
95-100,5,1,4
Oltre 100,1,,1
Ignota,54,30,24
TOTALE,349048,176985,172063
