Age_column,Total_column,Male_column,Female_column
0-1,13296,6862,6434
1-2,11855,5982,5873
2-3,12082,6059,6023
3-4,11547,5807,5740
4-5,11508,5820,5688
5-6,10613,5309,5304
6-7,10787,5380,5407
7-8,10592,5295,5297
8-9,10629,5458,5171
9-10,10359,5174,5185
10-11,10391,5222,5169
11-12,10490,5350,5140
12-13,9460,4869,4591
13-14,10056,5052,5004
14-15,9930,5064,4866
15-16,9522,4745,4777
16-17,9178,4516,4662
17-18,8676,4309,4367
18-19,8224,3981,4243
19-20,8136,4035,4101
20-21,8939,4783,4156
21-25,35036,19045,15991
25-30,33144,15601,17543
30-35,29923,14537,15386
35-40,27771,13649,14122
40-45,26245,12953,13292
45-50,23329,11649,11680
50-55,19471,9773,9698
55-60,17182,8507,8675
60-65,15185,7254,7931
65-70,13853,6796,7057
70-75,9827,4851,4976
75-80,4985,2507,2478
80-85,1838,867,971
85-90,560,255,305
90-95,85,32,53
95-100,6,1,5
Oltre 100,,,
Ignota,339,194,145
TOTALE,475049,237543,237506
