Age_column,Total_column,Male_column,Female_column
0-1,15763,7940,7823
1-2,14769,7510,7259
2-3,14870,7507,7363
3-4,13499,6811,6688
4-5,13675,6871,6804
5-6,12224,6189,6035
6-7,12312,6220,6092
7-8,12130,6076,6054
8-9,12332,6217,6115
9-10,12125,6141,5984
10-11,11791,6105,5686
11-12,11666,5798,5868
12-13,10909,5520,5389
13-14,10980,5459,5521
14-15,10753,5390,5363
15-16,10200,5031,5169
16-17,9774,4685,5089
17-18,9233,4340,4893
18-19,8508,3823,4685
19-20,7882,3569,4313
20-21,7908,3540,4368
21-25,30433,13540,16893
25-30,33680,14933,18747
30-35,30053,13870,16183
35-40,27281,12697,14584
40-45,25057,12001,13056
45-50,22213,10672,11541
50-55,19491,9429,10062
55-60,17285,8553,8729
60-65,15796,7851,7945
65-70,13879,7182,6697
70-75,9850,5107,4743
75-80,5108,2689,2419
80-85,1989,1051,938
85-90,671,361,310
90-95,87,40,47
95-100,6,1,5
Oltre 100,,,
Ignota,256,111,145
TOTALE,496438,240833,255605
