Age_column,Total_column,Male_column,Female_column
0-1,6374,3225,3149
1-2,6357,3159,3198
2-3,6228,3137,3091
3-4,5891,2936,2955
4-5,5703,2917,2786
5-6,5687,2762,2925
6-7,5437,2732,2705
7-8,5361,2635,2726
8-9,5541,2777,2764
9-10,5331,2690,2641
10-11,5518,2745,2773
11-12,4824,2353,2471
12-13,4638,2251,2387
13-14,4206,1985,2221
14-15,3753,1807,1946
15-16,3308,1485,1823
16-17,2903,1250,1653
17-18,2822,1083,1739
18-19,2569,989,1580
19-20,2271,834,1437
20-21,2857,1415,1442
21-25,11105,5202,5903
25-30,10312,3774,6538
30-35,10075,3766,6309
35-40,9387,3564,5823
40-45,9029,3449,5580
45-50,8505,3373,5132
50-55,7955,3412,4543
55-60,7336,3157,4179
60-65,6860,3062,3798
65-70,6075,2738,3337
70-75,4320,2056,2264
75-80,2572,1218,1354
80-85,1130,542,588
85-90,392,201,191
90-95,60,34,26
95-100,2,,2
Oltre 100,,,
Ignota,99,47,52
TOTALE,192793,86762,106031
