Age_column,Total_column,Male_column,Female_column
0-1,16483,8461,8022
1-2,15292,7874,7418
2-3,15064,7484,7580
3-4,14765,7519,7246
4-5,14292,7169,7123
5-6,13433,6789,6644
6-7,13420,6800,6620
7-8,13548,6902,6646
8-9,13573,6965,6608
9-10,12731,6408,6323
10-11,12572,6382,6190
11-12,12178,6158,6020
12-13,11695,6011,5684
13-14,11541,6012,5529
14-15,11265,5645,5620
15-16,10264,5131,5133
16-17,9959,4902,5057
17-18,9507,4484,5023
18-19,8659,4081,4578
19-20,7958,3750,4208
20-21,8294,4099,4195
21-25,30106,14245,15861
25-30,30613,13785,16828
30-35,26647,12489,14158
35-40,25416,12061,13355
40-45,23387,11300,12087
45-50,20879,10136,10743
50-55,17732,8699,9033
55-60,15202,7429,7773
60-65,13947,6906,7041
65-70,12511,6229,6282
70-75,9385,4694,4691
75-80,5300,2591,2709
80-85,2381,1183,1148
85-90,923,437,486
90-95,123,53,70
95-100,8,3,5
Oltre 100,,,
Ignota,163,77,86
TOTALE,491166,241343,249823
