Age_column,Total_column,Male_column,Female_column
0-1,14607,7328,7279
1-2,12361,6275,6086
2-3,12448,6339,6109
3-4,11914,6220,5694
4-5,11817,6017,5800
5-6,10634,5383,5251
6-7,11241,5745,5496
7-8,10753,5379,5374
8-9,10466,5313,5153
9-10,10060,5141,4919
10-11,10267,5111,5156
11-12,10102,5039,5063
12-13,9456,4789,4667
13-14,9376,4716,4660
14-15,9827,4991,4836
15-16,9094,4531,4563
16-17,9028,4464,4564
17-18,8991,4482,4509
18-19,8582,4315,4267
19-20,8131,4010,4121
20-21,8796,4490,4306
21-25,32494,17071,15423
25-30,34231,17075,17156
30-35,29312,14826,14486
35-40,26788,13295,13493
40-45,23936,12019,11917
45-50,23013,11453,11560
50-55,19784,9671,10063
55-60,16429,8061,8368
60-65,14424,6795,7629
65-70,11984,5528,6456
70-75,8370,3735,4635
75-80,4900,2117,2783
80-85,9053,830,1223
85-90,700,289,411
90-95,120,33,87
95-100,6,2,4
Oltre 100,,,
Ignota,307,153,154
TOTALE,466752,233031,233721
