Age_column,Total_column,Male_column,Female_column
0-1,16925,8702,8223
1-2,14463,7409,7054
2-3,14951,7588,7363
3-4,14062,7003,7059
4-5,14085,7181,6954
5-6,12796,6559,6237
6-7,13280,6899,6381
7-8,12601,6358,6243
8-9,13000,6661,6339
9-10,12813,6660,6153
10-11,12485,6369,6116
11-12,12621,6525,6096
12-13,11348,5897,5451
13-14,11746,6025,5721
14-15,11829,6002,5827
15-16,10526,5295,5231
16-17,10196,5099,5097
17-18,10031,4894,5137
18-19,9325,4559,4766
19-20,8258,3965,4293
20-21,8577,4120,4457
21-25,32433,15178,17255
25-30,36402,17426,18976
30-35,30639,14838,15801
35-40,28850,13963,14887
40-45,26320,12884,13436
45-50,23580,11550,11980
50-55,20045,9847,10198
55-60,17024,8343,8681
60-65,15934,7699,8235
65-70,13890,6816,7074
70-75,10259,5061,5198
75-80,5052,2447,2605
80-85,1989,909,1080
85-90,762,350,412
90-95,88,38,50
95-100,6,2,4
Oltre 100,1,1,
Ignota,216,98,118
TOTALE,519358,257170,262188
