Age_column,Total_column,Male_column,Female_column
0-1,21369,10805,10564
1-2,20576,10426,10150
2-3,19835,10164,9671
3-4,18896,9645,9251
4-5,18323,9291,9032
5-6,17705,8918,8787
6-7,17242,8592,8650
7-8,17316,8748,8568
8-9,17646,8936,8710
9-10,16834,8540,8294
10-11,16751,8446,8308
11-12,15009,7448,7561
12-13,14087,6839,7248
13-14,13296,6264,7032
14-15,12818,5792,7026
15-16,10968,4491,6477
16-17,10488,4139,6349
17-18,9808,3659,6149
18-19,9201,3331,5870
19-20,9116,3334,5782
20-21,10218,4551,5667
21-25,37415,15760,21655
25-30,38056,14332,23724
30-35,34228,13369,20859
35-40,30546,12329,18217
40-45,27886,11600,16286
45-50,26608,11439,15169
50-55,25414,11079,14335
55-60,22270,9948,12322
60-65,21314,9901,11413
65-70,18402,8836,9566
70-75,13641,6687,6954
75-80,8272,4103,4169
80-85,4142,2031,2111
85-90,1377,699,678
90-95,251,128,123
95-100,18,6,7
Oltre 100,2,,2
Ignota,739,800,439
TOTALE,628081,284906,343175
