Age_column,Total_column,Male_column,Female_column
0-1,7216,3724,3498
1-2,6881,3509,3372
2-3,6588,3330,3258
3-4,6526,3317,3209
4-5,6250,3182,3068
5-6,6143,3111,3032
6-7,6056,3113,2943
7-8,6114,3094,3020
8-9,5937,3040,2897
9-10,5480,2718,2762
10-11,5895,3011,2884
11-12,5924,3012,2912
12-13,5517,2848,2669
13-14,5189,2653,2536
14-15,4844,2560,2284
15-16,4364,2213,2151
16-17,4226,2133,2093
17-18,4357,2270,2087
18-19,4002,2068,1934
19-20,3948,2058,1890
20-21,4346,2386,1960
21-25,16658,8821,7837
25-30,17154,8290,8864
30-35,15721,7809,7912
35-40,13997,7115,6882
40-45,13199,6833,6366
45-50,13056,6763,6293
50-55,11950,6178,5772
55-60,10772,5613,5159
60-65,9396,4895,4501
65-70,7689,4134,3555
70-75,5443,2916,2527
75-80,2908,1492,1416
80-85,1226,656,570
85-90,332,162,170
90-95,65,33,32
95-100,9,4,5
Oltre 100,,,
Ignota,855,431,424
TOTALE,256233,131495,124738
