Age_column,Total_column,Male_column,Female_column
0-1,9455,4696,4759
1-2,8441,4280,4161
2-3,7924,3969,3955
3-4,8066,3989,4077
4-5,7654,3.938,3716
5-6,7744,3848,3896
6-7,7471,3784,
7-8,7167,3648,3519
8-9,7120,3647,3473
9-10,6962,3533,3429
10-11,7227,3652,3575
11-12,7293,3764,3529
12-13,6844,3476,3368
13-14,6632,3432,3200
14-15,6626,3450,3176
15-16,6404,3249,3155
16-17,6300,3095,3205
17-18,6108,3136,2972
18-19,5619,2843,2776
19-20,5497,2732,2765
20-21,5957,3069,2888
21-25,21576,10973,10603
25-30,22759,11425,11334
30-35,19850,,10147
35-40,18059,8946,9113
40-45,17035,8634,8401
45-50,16423,8391,8032
50-55,14918,7501,7417
55-60,13018,6682,6336
60-65,11872,6070,5802
65-70,9320,4899,4421
70-75,6580,3452,3128
75-80,3731,1932,1799
80-85,1623,851,772
85-90,455,212,243
90-95,78,36,42
95-100,12,3,9
Oltre 100,2,,2
Ignota,341,157,184
TOTALE,326163,165097,161066
