Age_column,Total_column,Male_column,Female_column
0-1,10352,5214,5138
1-2,8780,4456,4324
2-3,8426,4246,4180
3-4,8482,4201,4281
4-5,7892,3955,3937
5-6,7742,3902,3840
6-7,7440,3780,3660
7-8,7100,3598,3502
8-9,7024,3535,3489
9-10,6918,3447,3471
10-11,7069,3507,3562
11-12,6945,3538,3407
12-13,6646,3382,3264
13-14,6381,3248,3133
14-15,6452,3369,3083
15-16,6000,3194,2806
16-17,5971,3064,2907
17-18,5933,3076,2857
18-19,5468,2788,2680
19-20,4955,2487,2468
20-21,5329,2596,2733
21-25,19714,9600,10114
25-30,21822,10884,10938
30-35,18475,9340,9135
35-40,16656,8430,8226
40-45,16165,8254,7911
45-50,15680,8156,7524
50-55,13680,6935,6745
55-60,11449,5854,5595
60-65,10560,5472,5088
65-70,8220,4299,3921
70-75,5782,3017,2765
75-80,3142,1619,1523
80-85,1188,624,564
85-90,366,173,193
90-95,49,27,22
95-100,3,1,2
Oltre 100,1,1,
Ignota,80,47,33
TOTALE,310337,157316,153021
