Age_column,Total_column,Male_column,Female_column
0-1,11050,5553,5497
1-2,9769,4953,4816
2-3,9457,4772,4685
3-4,9230,4713,4517
4-5,8748,4464,4284
5-6,8504,4352,4152
6-7,8573,4305,4268
7-8,7656,3899,3757
8-9,7888,4000,3888
9-10,7486,3768,3718
10-11,7572,3734,3838
11-12,7733,3868,3865
12-13,7503,3755,3748
13-14,7343,3728,3615
14-15,7210,3716,3494
15-16,6512,3271,3241
16-17,6512,3254,3258
17-18,6727,3336,3391
18-19,6304,3143,3161
19-20,5910,2991,2919
20-21,6129,2998,3131
21-25,22480,11015,11465
25-30,25021,12387,12634
30-35,20579,10111,10468
35-40,18519,9124,9395
40-45,17992,8965,9027
45-50,18682,9569,9113
50-55,16553,8503,8050
55-60,13905,7167,6738
60-65,12622,6542,6080
65-70,9874,5266,4608
70-75,6885,3653,3232
75-80,4016,2128,1888
80-85,1525,777,748
85-90,429,206,223
90-95,61,28,33
95-100,4,1,3
Oltre 100,1,1,
Ignota,87,38,49
TOTALE,353051,178054,174997
