Age_column,Total_column,Male_column,Female_column
0-1,15816,8043,7773
1-2,14192,7264,6928
2-3,13881,6936,6945
3-4,13431,6781,6650
4-5,12682,6437,6245
5-6,12371,6217,6154
6-7,12744,6560,6184
7-8,11765,5962,5803
8-9,11911,6042,5869
9-10,11649,5785,5864
10-11,11735,5905,5830
11-12,11087,5534,5553
12-13,10974,5503,5471
13-14,11082,5608,5474
14-15,11548,5832,5716
15-16,10795,5517,5278
16-17,10953,5556,5397
17-18,10934,5368,5566
18-19,10954,5380,5574
19-20,9791,4746,5045
20-21,10851,5489,5362
21-25,40206,20279,19927
25-30,42225,20627,21598
30-35,36294,17562,18732
35-40,33032,16392,16640
40-45,31850,15882,15968
45-50,32162,16300,15862
50-55,28385,14437,13948
55-60,23088,11623,11460
60-65,21568,10809,10759
65-70,17135,8612,8523
70-75,11035,5500,5535
75-80,6028,2947,3081
80-85,2460,1136,1324
85-90,744,305,439
90-95,105,46,59
95-100,9,1,8
Oltre 100,257,124,133
Ignota,,,
TOTALE,577729,289052,288677
