Age_column,Total_column,Male_column,Female_column
0-1,10462,5405,5057
1-2,9172,4609,4563
2-3,8708,4442,4266
3-4,8225,4259,3966
4-5,7964,4026,3938
5-6,7728,3952,3776
6-7,7730,3821,3909
7-8,7116,3648,3468
8-9,7356,3746,3610
9-10,6919,3523,3396
10-11,6843,3546,3297
11-12,6789,3411,3378
12-13,6409,3293,3116
13-14,6442,3252,3190
14-15,6608,3356,3252
15-16,5977,2995,2982
16-17,5859,3060,2799
17-18,5382,2700,2682
18-19,5737,2886,2851
19-20,5208,2552,2656
20-21,5202,2502,2700
21-25,18934,9268,9666
25-30,21978,11043,10935
30-35,17532,8803,8729
35-40,17464,8926,8538
40-45,15295,7823,7472
45-50,15474,7952,7522
50-55,13669,7042,6627
55-60,10841,5451,5390
60-65,10042,5028,5014
65-70,8597,4293,4304
70-75,5488,2725,2763
75-80,3058,1366,1692
80-85,1111,490,621
85-90,358,149,209
90-95,63,18,45
95-100,7,3,4
Oltre 100,1,1,
Ignota,176,89,87
TOTALE,307924,155454,152470
