Age_column,Total_column,Male_column,Female_column
0-1,6215,3186,3029
1-2,5264,2646,2618
2-3,5165,2605,2560
3-4,4910,2518,2392
4-5,4627,2273,2354
5-6,4607,2371,2.236
6-7,4618,2376,2242
7-8,4615,2369,2246
8-9,4506,2301,2205
9-10,4518,2270,2248
10-11,4467,2257,2210
11-12,4410,2268,2142
12-13,4374,2229,2145
13-14,4431,2263,2168
14-15,4628,2369,2259
15-16,4357,2264,2093
16-17,4726,2338,2388
17-18,4442,2238,2204
18-19,4573,2283,2290
19-20,4045,2017,2028
20-21,4484,2511,1973
21-25,17915,9672,8243
25-30,18468,9465,9003
30-35,16130,8265,7865
35-40,14849,7566,7283
40-45,14196,7315,6881
45-50,14545,7525,7020
50-55,13383,6927,6456
55-60,11155,5745,5410
60-65,10534,5433,5101
65-70,8512,4458,4054
70-75,5362,2616,2746
75-80,3300,1678,1622
80-85,1375,669,706
85-90,458,202,256
90-95,73,35,38
95-100,8,3,5
Oltre 100,2,1,1
Ignota,109,65,44
TOTALE,248356,127592,120764
