Age_column,Total_column,Male_column,Female_column
0-1,9548,4837,4711
1-2,7568,3873,3695
2-3,7529,3758,3771
3-4,7445,3743,3702
4-5,7089,3687,3402
5-6,6821,3453,3368
6-7,6461,3271,3190
7-8,6325,3217,3108
8-9,6254,3185,3069
9-10,6403,3228,3175
10-11,6585,3357,3228
11-12,6228,3139,3089
12-13,6034,3079,2955
13-14,5600,2844,2756
14-15,6036,3015,3021
15-16,5664,2713,2951
16-17,5793,2812,2981
17-18,5918,2759,3159
18-19,5670,2700,2970
19-20,4894,2205,2689
20-21,5261,2600,2661
21-25,19771,9442,10329
25-30,21801,10551,11250
30-35,18854,9245,9609
35-40,16127,7948,8179
40-45,15518,7785,7733
45-50,15560,7900,7660
50-55,14398,7227,7171
55-60,11816,6078,5738
60-65,11610,6021,5589
65-70,8593,4438,4155
70-75,5769,3082,2687
75-80,3215,1723,1492
80-85,1367,740,627
85-90,385,195,190
90-95,83,52,31
95-100,5,1,4
Oltre 100,1410,597,813
Ignota,,,
TOTALE,301408,150500,150908
