Age_column,Total_column,Male_column,Female_column
0-1,7783,3993,3790
1-2,6711,3441,3270
2-3,6311,3216,3095
3-4,6133,3166,2967
4-5,6118,3177,2941
5-6,6239,3221,3018
6-7,5848,2977,2871
7-8,5671,2854,2817
8-9,5470,2767,2703
9-10,5655,2863,2792
10-11,5811,2957,2854
11-12,5857,3055,2802
12-13,5678,2908,2770
13-14,5422,2772,2650
14-15,5632,2864,2768
15-16,5166,2554,2612
16-17,5066,2467,2599
17-18,4795,2245,2550
18-19,4499,2009,2490
19-20,3961,1773,2188
20-21,4170,1955,2215
21-25,16019,7398,8621
25-30,17847,8140,9707
30-35,15441,7162,8279
35-40,13872,6577,7295
40-45,13554,6599,6955
45-50,13727,6627,7100
50-55,13164,6560,6604
55-60,10714,5403,5311
60-65,10363,5229,5134
65-70,8086,4092,3994
70-75,5527,2858,2669
75-80,3202,1686,1516
80-85,1228,658,570
85-90,371,203,168
90-95,57,28,29
95-100,3,1,2
Oltre 100,,,
Ignota,345,153,192
TOTALE,261516,128608,132908
