Age_column,Total_column,Male_column,Female_column
0-1,9548,4875,4673
1-2,8152,4083,4069
2-3,8241,4256,8985
3-4,7654,3876,3778
4-5,7343,3799,3544
5-6,7352,3725,3627
6-7,6944,3578,3366
7-8,6672,3361,3811
8-9,,3549,3452
9-10,6804,3475,3329
10-11,6831,3476,3355
11-12,6941,3484,3457
12-13,6742,3415,3327
13-14,6661,3425,3236
14-15,6744,3306,3438
15-16,6373,3165,3208
16-17,6383,3071,3262
17-18,6351,3024,2327
18-19,5884,2664,3220
19-20,5077,2222,2855
20-21,5678,2727,2951
21-25,21348,9935,11413
25-30,22555,10331,12224
30-35,18882,8803,10079
35-40,16677,7957,8720
40-45,16747,7973,8774
45-50,15966,7639,8327
50-55,15017,7067,7950
55-60,12751,6225,6526
60-65,12090,5783,6307
65-70,9578,4545,5033
70-75,6571,3129,3442
75-80,4058,1987,2071
80-85,1455,695,760
85-90,490,245,245
90-95,59,22,37
95-100,13,4,9
Oltre 100,126,36,90
Ignota,,,
TOTALE,319709,154932,164777
