Age_column,Total_column,Male_column,Female_column
0-1,7468,3914,3554
1-2,6828,3511,3817
2-3,,3284,3217
3-4,6224,3201,3023
4-5,5903,3037,2866
5-6,6002,3113,2889
6-7,5729,2923,2806
7-8,5549,2830,2719
8-9,5546,2855,2691
9-10,5573,2898,2675
10-11,5463,2752,2711
11-12,5596,2884,2712
12-13,5414,2712,2702
13-14,5403,2748,2655
14-15,5262,2624,2638
15-16,5020,2456,2564
16-17,4958,2303,2655
17-18,4934,2196,2738
18-19,4523,1888,2635
19-20,3975,1660,2815
20-21,3887,1589,2298
21-25,14727,5827,8900
25-30,16631,7187,9444
30-35,14097,6335,7762
35-40,12523,5670,6853
40-45,13161,5950,7211
45-50,13420,6228,7192
50-55,13208,6125,7083
55-60,11552,5573,5979
60-65,11220,5404,5816
65-70,9121,4350,4771
70-75,6096,2895,3201
75-80,4005,1970,2035
80-85,1629,834,795
85-90,550,271,279
90-95,89,42,47
95-100,8,1,7
Oltre 100,1,1,
Ignota,597,283,314
TOTALE,258393,122324,136069
