Age_column,Total_column,Male_column,Female_column
0-1,7585,3823,3762
1-2,6905,3542,3363
2-3,6599,3375,3224
3-4,6107,3126,2981
4-5,5931,3043,2888
5-6,5954,3053,2901
6-7,5800,3083,2717
7-8,5253,2677,2576
8-9,5257,2728,2529
9-10,5182,2645,2537
10-11,5573,2828,2745
11-12,5498,2706,2792
12-13,5343,2736,2607
13-14,5253,2686,2567
14-15,5199,2564,2635
15-16,5061,2486,2575
16-17,5042,2461,2581
17-18,5080,2390,2690
18-19,4452,1973,2479
19-20,4026,1639,2387
20-21,4081,1684,2397
21-25,15103,6276,8827
25-30,16858,6932,9926
30-35,14609,6434,8175
35-40,12281,5532,6749
40-45,12550,5693,6857
45-50,13114,6080,7034
50-55,12317,5935,6382
55-60,10608,5116,5492
60-65,10333,4968,5365
65-70,8368,3994,4374
70-75,6008,2868,3140
75-80,3927,2028,1899
80-85,1663,885,778
85-90,516,268,248
90-95,82,36,46
95-100,10,1,9
Oltre 100,1,,1
Ignota,106,50,56
TOTALE,253635,120344,133291
