Age_column,Total_column,Male_column,Female_column
0-1,6380,3220,3160
1-2,6258,3218,3040
2-3,6154,3125,3029
3-4,5656,2945,2711
4-5,5598,2818,2780
5-6,5472,2778,2694
6-7,5489,2788,2701
7-8,5183,2613,2570
8-9,5390,2727,2663
9-10,4889,2458,2431
10-11,5308,2723,2585
11-12,5443,2676,2767
12-13,4927,2478,2449
13-14,4645,2299,2346
14-15,4783,2344,2439
15-16,4321,2093,2228
16-17,4314,2047,2267
17-18,4264,2025,2239
18-19,3871,1776,2095
19-20,3872,1731,2141
20-21,3329,1425,1904
21-25,12524,5.126,7398
25-30,13454,5989,7465
30-35,11663,5382,6281
35-40,11016,5138,5878
40-45,10636,5041,5595
45-50,10240,4957,5283
50-55,8669,4259,4410
55-60,7395,3707,3688
60-65,7299,3692,3607
65-70,5613,2864,2749
70-75,3950,2027,1923
75-80,2596,1374,1222
80-85,1198,668,530
85-90,399,205,194
90-95,75,43,32
95-100,2,1,1
Oltre 100,1,,1
Ignota,154,72,82
TOTALE,212430,102852,109578
