Age_column,Total_column,Male_column,Female_column
0-1,8154,4093,4061
1-2,8346,4200,4146
2-3,8295,4192,4103
3-4,7563,3783,3780
4-5,7614,3896,3718
5-6,7953,4059,3894
6-7,7703,3956,3747
7-8,7455,3788,3667
8-9,7616,3960,3656
9-10,7462,3736,3726
10-11,7764,3962,3802
11-12,8091,4143,3948
12-13,7588,3829,3759
13-14,6967,3497,3470
14-15,7527,3682,3845
15-16,6802,3262,3540
16-17,6900,3299,3501
17-18,6554,2997,3557
18-19,5956,2690,3266
19-20,5883,2517,3366
20-21,5498,2387,3109
21-25,19063,7381,11682
25-30,20611,8452,12159
30-35,18732,7944,10788
35-40,17140,7499,9641
40-45,16650,7253,9397
45-50,16168,7.795,8373
50-55,16023,6871,9152
55-60,13533,6227,7306
60-65,13503,6342,7161
65-70,,5250,5418
70-75,7932,3877,4055
75-80,5211,2649,2562
80-85,2747,1376,1371
85-90,884,447,437
90-95,138,63,75
95-100,19,3,16
Oltre 100,300,128,172
Ignota,,,
TOTALE,333011,155485,177526
