Age_column,Total_column,Male_column,Female_column
0-1,23935,12210,11725
1-2,22049,11185,10864
2-3,22300,11304,10996
3-4,21661,10984,10677
4-5,20953,10782,10171
5-6,20358,10319,10039
6-7,20405,10268,10137
7-8,20038,10115,9923
8-9,19731,9964,9767
9-10,19802,10020,
10-11,20777,10639,10138
11-12,20572,10240,10332
12-13,20340,10264,10076
13-14,19384,9734,9650
14-15,19678,9836,9842
15-16,18915,9340,9575
16-17,19483,9442,10041
17-18,19063,9244,9819
18-19,18938,9043,9895
19-20,17979,8591,9388
20-21,18626,8926,9700
21-25,70463,33771,86692
25-30,75147,36305,38842
30-35,66191,32195,
35-40,60949,30178,30771
40-45,55798,27554,28244
45-50,54492,27592,26830
50-55,46235,23341,22894
55-60,39476,19917,19559
60-65,38534,19499,19035
65-70,28938,15017,13921
70-75,19581,10116,9465
75-80,11139,5810,5329
80-85,5185,2696,2489
85-90,1525,758,767
90-95,243,125,118
95-100,27,13,14
Oltre 100,2,1,1
Ignota,581,266,315
TOTALE,999423,497604,501819
