Age_column,Total_column,Male_column,Female_column
0-1,2996,1536,1460
1-2,2661,1337,1324
2-3,2749,1400,1349
3-4,2835,1427,1408
4-5,2628,1325,1303
5-6,2571,1287,1284
6-7,2488,1256,1232
7-8,2408,1191,1217
8-9,2475,1235,1240
9-10,2287,1127,1160
10-11,2412,1202,1210
11-12,2428,1183,1245
12-13,2313,1141,1172
13-14,2361,1190,1171
14-15,2318,1190,1128
15-16,2395,1178,1217
16-17,2431,1226,1205
17-18,2477,1275,1202
18-19,2501,1215,1286
19-20,2400,1162,1238
20-21,2522,1307,1215
21-25,9745,5054,4691
25-30,11008,5648,5360
30-35,9850,5079,4771
35-40,8498,4246,4252
40-45,7910,3949,3961
45-50,7972,3987,3985
50-55,7123,3456,3667
55-60,5727,2775,2952
60-65,5428,2643,2785
65-70,4073,1929,2144
70-75,2803,1222,1581
75-80,1740,773,967
80-85,818,355,463
85-90,229,99,130
90-95,28,8,20
95-100,3,1,2
Oltre 100,1,,1
Ignota,153,63,90
TOTALE,135765,67677,68088
