Age_column,Total_column,Male_column,Female_column
0-1,8455,4243,4212
1-2,8083,4173,3910
2-3,8053,4105,3948
3-4,8039,4134,3905
4-5,7627,3857,3770
5-6,7711,3905,3806
6-7,7313,3811,3502
7-8,7199,3714,3485
8-9,7153,3674,3479
9-10,6893,3455,3438
10-11,7179,3614,3565
11-12,7062,3648,3414
12-13,7.07,3626,3444
13-14,6459,3260,3199
14-15,6630,8410,3220
15-16,6331,3109,3222
16-17,6748,3451,3297
17-18,6508,3258,3250
18-19,6248,3236,3012
19-20,5883,2988,2895
20-21,5935,2926,3009
21-25,22602,11257,11345
25-30,25419,12704,12715
30-35,22771,11486,11285
35-40,20124,10252,9872
40-45,19047,9561,9486
45-50,17948,9330,8618
50-55,15625,7925,7700
55-60,13286,6863,6423
60-65,13297,6862,6435
65-70,9959,5241,4718
70-75,6833,3597,3236
75-80,4078,2154,1924
80-85,1746,897,849
85-90,519,253,266
90-95,109,47,62
95-100,15,6,9
Oltre 100,293,188,155
Ignota,,,
TOTALE,342250,174170,168080
