Age_column,Total_column,Male_column,Female_column
0-1,8452,4287,4165
1-2,7360,3681,3679
2-3,7085,3608,3477
3-4,6768,3485,3283
4-5,6321,3187,3134
5-6,6550,3352,3198
6-7,6449,3300,3149
7-8,6250,3149,3101
8-9,5861,3051,2810
9-10,5614,2838,2776
10-11,6045,3083,2962
11-12,6430,3.241,3189
12-13,6145,3117,3028
13-14,5831,2976,2855
14-15,5786,2934,2802
15-16,5139,2651,2488
16-17,5540,2798,2742
17-18,5439,2765,2674
18-19,5223,2638,2585
19-20,4764,2462,2302
20-21,4762,2246,2516
21-25,17211,7873,9338
25-30,19733,9699,10034
30-35,17024,8472,8552
35-40,15477,7892,7585
40-45,15110,7812,7298
45-50,14542,7570,6972
50-55,13557,7075,6482
55-60,11914,6317,5597
60-65,11329,6046,5283
65-70,8514,4625,3889
70-75,5760,3083,2677
75-80,3428,1936,1492
80-85,1485,841,644
85-90,403,211,192
90-95,77,39,38
95-100,7,2,5
Oltre 100,2,,2
Ignota,326,139,187
TOTALE,283663,144481,139182
