Age_column,Total_column,Male_column,Female_column
0-1,6349,3283,3066
1-2,5447,2837,2610
2-3,5346,2722,2624
3-4,5125,2630,2495
4-5,4964,2466,2498
5-6,4897,2485,2412
6-7,4928,2452,2476
7-8,4756,2351,2405
8-9,4762,2432,2330
9-10,4405,2198,2207
10-11,4787,2430,2357
11-12,4856,2470,2386
12-13,4692,2434,2258
13-14,4447,2224,2223
14-15,4738,2441,2292
15-16,4153,2070,2083
16-17,4428,2208,2220
17-18,4480,2243,2237
18-19,4556,2287,2269
19-20,4157,2101,2056
20-21,4328,2222,2106
21-25,16757,8664,8093
25-30,18478,9311,9167
30-35,15680,8128,7552
35-40,14087,7311,6776
40-45,13423,7038,6385
45-50,13453,7032,6421
50-55,11865,6269,5596
55-60,10816,5780,5036
60-65,10173,5387,4786
65-70,7308,4051,3257
70-75,4435,2428,2007
75-80,2630,1486,1144
80-85,1090,596,494
85-90,263,122,141
90-95,38,15,23
95-100,8,3,5
Oltre 100,430,188,242
Ignota,,,
TOTALE,241530,124795,116735
