Age_column,Total_column,Male_column,Female_column
0-1,4215,2140,2075
1-2,3681,1890,1791
2-3,3676,1813,1863
3-4,3549,1877,1672
4-5,3362,1679,1683
5-6,3437,1717,1720
6-7,3398,1758,1640
7-8,3204,1624,1580
8-9,3139,1605,1534
9-10,2900,1480,1420
10-11,3176,1589,1587
11-12,3168,1611,1557
12-13,3280,1699,1581
13-14,2968,1518,1450
14-15,2926,1515,1411
15-16,3044,1560,1484
16-17,2860,1462,1398
17-18,3021,1524,1497
18-19,2924,1510,1414
19-20,2625,1357,1268
20-21,2573,1233,1340
21-25,10130,4915,5215
25-30,11798,6178,5625
30-35,9025,4781,4244
35-40,8497,4564,3933
40-45,8221,4406,3815
45-50,7800,4290,3510
50-55,6669,,3020
55-60,5290,2838,2452
60-65,4810,2586,2224
65-70,3.294,1723,1571
70-75,1978,1048,930
75-80,1221,591,630
80-85,461,234,227
85-90,129,58,71
90-95,34,16,18
95-100,7,3,4
Oltre 100,144,84,60
Ignota,,,
TOTALE,146634,76120,70514
