Age_column,Total_column,Male_column,Female_column
0-1,20864,10794,10070
1-2,20176,10366,9810
2-3,21337,10951,10386
3-4,19127,9944,9183
4-5,18067,9269,8798
5-6,18442,9489,8953
6-7,18433,9567,8866
7-8,17591,8995,8596
8-9,17078,8843,8235
9-10,15819,8043,7776
10-11,17163,8831,8332
11-12,17671,9014,8657
12-13,17926,9017,8909
13-14,17244,8798,8446
14-15,16657,8472,8185
15-16,16060,8103,7957
16-17,15860,7752,8108
17-18,14885,6917,7968
18-19,14882,6876,8006
19-20,13207,5879,7328
20-21,14354,6820,7534
21-25,49507,22714,26793
25-30,47972,19837,28135
30-35,42725,18245,24480
35-40,41333,18269,23064
40-45,39138,17821,21317
45-50,38360,17962,20398
50-55,39292,18433,20859
55-60,33591,16101,17490
60-65,34308,16309,17999
65-70,24998,12241,12757
70-75,18115,8477,9638
75-80,9550,4487,5063
80-85,4825,2203,2622
85-90,1373,595,778
90-95,327,146,181
95-100,66,21,45
Oltre 100,8,3,5
Ignota,3285,1621,1664
TOTALE,791616,378225,413391
