Age_column,Total_column,Male_column,Female_column
0-1,7032,3646,3386
1-2,6304,3181,3123
2-3,6899,3505,3394
3-4,6215,3189,3026
4-5,6068,3049,3019
5-6,6172,3221,2951
6-7,5961,3066,2895
7-8,5222,2725,2597
8-9,5318,2724,2594
9-10,4974,2527,2447
10-11,5736,2876,2860
11-12,5821,2976,2845
12-13,5824,2943,2881
13-14,5579,2807,2772
14-15,5140,2647,2493
15-16,4907,2448,2464
16-17,4782,2246,2536
17-18,4492,2007,2485
18-19,4444,1909,2535
19-20,3700,1418,2282
20-21,3895,1484,2411
21-25,13782,5193,8589
25-30,15559,6088,9471
30-35,13719,5749,7970
35-40,13409,5844,7565
40-45,12408,5464,6944
45-50,12293,5601,6692
50-55,12913,6094,6819
55-60,12044,5889,6155
60-65,12262,6085,6177
65-70,8218,4178,4040
70-75,5920,2965,2955
75-80,3441,1752,1689
80-85,1564,792,772
85-90,522,267,255
90-95,80,41,39
95-100,15,2,13
Oltre 100,1,,1
Ignota,1991,907,1084
TOTALE,254726,119500,135226
