Age_column,Total_column,Male_column,Female_column
0-1,34561,17996,16565
1-2,30261,15535,14726
2-3,29936,15366,14570
3-4,29179,14892,14287
4-5,27368,13867,13501
5-6,26794,13757,13037
6-7,26942,13821,13121
7-8,26961,13748,13213
8-9,25954,13401,12553
9-10,24017,12232,11785
10-11,26238,13142,13096
11-12,25985,13191,12794
12-13,26473,13479,12994
13-14,25911,13093,12818
14-15,25875,13023,12852
15-16,25289,12658,12631
16-17,24837,12297,12540
17-18,24300,11890,12410
18-19,25088,12387,12701
19-20,22913,11112,11801
20-21,25433,12804,12629
21-25,93200,46685,46515
25-30,95379,45279,50100
30-35,86065,41239,44826
35-40,76703,36270,40433
40-45,72319,35332,36987
45-50,67032,32547,34485
50-55,67083,32193,34890
55-60,51220,25353,25867
60-65,50162,23484,26678
65-70,34196,16904,17292
70-75,25639,12051,13581
75-80,12474,5906,6568
80-85,7187,3106,4031
85-90,2345,1008,1337
90-95,612,221,391
95-100,117,42,75
Oltre 100,9,3,6
Ignota,8735,3659,5076
TOTALE,1310785,644973,665812
