Age_column,Total_column,Male_column,Female_column
0-1,10766,5517,5249
1-2,10686,5473,5213
2-3,11103,5780,5373
3-4,9547,4916,4631
4-5,9193,4756,4437
5-6,9427,4717,4710
6-7,9278,4759,4514
7-8,8405,4424,3981
8-9,8563,4398,4170
9-10,7847,4077,3770
10-11,8915,4607,4308
11-12,9276,4687,4589
12-13,9288,4868,4420
13-14,8418,4297,4121
14-15,8548,4365,4183
15-16,8164,4132,4032
16-17,7778,3764,4014
17-18,7427,3393,4034
18-19,7118,3051,4067
19-20,5809,2403,3406
20-21,5997,2349,3648
21-25,22213,8826,13387
25-30,29967,9097,13870
30-35,20206,8344,11862
35-40,19527,8418,11109
40-45,19167,8432,10735
45-50,19341,8788,10553
50-55,20422,9700,10722
55-60,18640,8981,9659
60-65,18508,9194,9314
65-70,12766,6382,6384
70-75,9299,4590,4709
75-80,5566,2808,2758
80-85,2795,1399,1396
85-90,832,432,400
90-95,192,77,115
95-100,17,3,14
Oltre 100,4,,4
Ignota,2571,1157,1414
TOTALE,396581,187306,209275
