Age_column,Total_column,Male_column,Female_column
0-1,15419,7961,7458
1-2,13914,7108,6806
2-3,14806,7602,7204
3-4,13669,6963,6706
4-5,13099,6559,6540
5-6,12756,6560,6196
6-7,13106,6690,6416
7-8,12480,6381,6099
8-9,12121,6239,5882
9-10,10661,5487,5174
10-11,11864,6020,5844
11-12,11782,6022,5760
12-13,11770,6049,5721
13-14,11612,5957,5655
14-15,11830,6051,5779
15-16,11515,5793,5722
16-17,11093,5392,5701
17-18,10456,4921,5535
18-19,10637,4968,5669
19-20,8980,4091,4889
20-21,9898,4460,5438
21-25,33084,14695,18389
25-30,32823,14202,18621
30-35,30636,13640,16996
35-40,27745,12450,15295
40-45,27002,12302,14700
45-50,25.882,12036,13846
50-55,27946,12805,15141
55-60,23940,11264,12676
60-65,24714,11.561,13153
65-70,17518,8493,9025
70-75,15221,7065,8156
75-80,8550,4199,4351
80-85,5323,2495,2828
85-90,1761,895,866
90-95,429,182,247
95-100,84,34,50
Oltre 100,13,5,8
Ignota,2143,1035,1108
TOTALE,558282,266632,291650
