Age_column,Total_column,Male_column,Female_column
0-1,11147,5785,5362
1-2,11234,5792,5442
2-3,11505,5859,5646
3-4,9804,5024,4780
4-5,9166,4735,4431
5-6,9915,5046,4869
6-7,9850,5162,4688
7-8,8812,4549,4263
8-9,,4408,4160
9-10,8361,4337,4024
10-11,9280,4884,4396
11-12,9397,4804,4593
12-13,8785,4536,4249
13-14,8612,4320,4292
14-15,7905,3966,3939
15-16,7749,3706,4013
16-17,7434,3820,4114
17-18,7142,3062,4080
18-19,6900,9679,4221
19-20,5838,2108,3730
20-21,6037,2300,3737
21-25,22888,8412,14476
25-30,24326,9061,15265
30-35,21783,8621,13159
35-40,20903,8630,12273
40-45,20512,8932,11580
45-50,20804,9379,11425
50-55,20925,9895,11030
55-60,19796,9738,10058
60-65,17862,8921,8941
65-70,13839,7031,6808
70-75,9330,4724,4606
75-80,5883,8156,2727
80-85,2411,1283,1128
85-90,705,375,330
90-95,108,55,53
95-100,23,14,9
Oltre 100,,,
Ignota,1466,581,885
TOTALE,407005,189193,217812
