Age_column,Total_column,Male_column,Female_column
0-1,8837,4496,4341
1-2,8301,4276,4025
2-3,8111,4151,3960
3-4,7390,3726,3664
4-5,7111,3668,3443
5-6,7405,3814,3591
6-7,7344,3767,3577
7-8,6445,3315,3130
8-9,6561,3432,3129
9-10,6404,3331,3073
10-11,7079,,3493
11-12,7205,3718,3487
12-13,6834,3484,33504
13-14,6447,3291,3156
14-15,6538,3341,3197
15-16,6107,2982,3125
16-17,5796,2815,2981
17-18,5737,2623,3114
18-19,5401,2271,3130
19-20,4744,1.934,2810
20-21,4827,1840,2987
21-25,16860,5885,10975
25-30,19696,7573,12123
30-35,17581,7392,10189
35-40,15304,,8572
40-45,15026,6935,8091
45-50,14576,6893,7683
50-55,15017,7297,7720
55-60,13847,6827,7020
60-65,12695,6390,6305
65-70,9943,5079,4864
70-75,7972,4064,3908
75-80,5064,2612,2422
80-85,2179,1130,1049
85-90,786,447,339
90-95,161,81,80
95-100,16,9,7
Oltre 100,5,2,3
Ignota,138,65,73
TOTALE,307490,145304,162186
