Age_column,Total_column,Male_column,Female_column
0-1,10086,5068,5018
1-2,9422,4777,4645
2-3,9481,4791,4690
3-4,8756,4482,4274
4-5,8204,4192,4012
5-6,8729,4504,4225
6-7,8279,4269,4010
7-8,7211,3741,3470
8-9,7282,3697,3585
9-10,7280,3796,3484
10-11,8261,4228,4033
11-12,8326,4260,4066
12-13,8173,4252,3921
13-14,7696,3864,3832
14-15,7252,3640,3612
15-16,6939,3473,3466
16-17,6973,3219,3754
17-18,6619,2936,3683
18-19,6217,2527,3690
19-20,5336,2043,3293
20-21,5709,2249,3460
21-25,21057,7954,13103
25-30,22658,8320,14338
30-35,20435,7952,12483
35-40,18035,7438,10597
40-45,17939,7671,10268
45-50,17495,7750,9745
50-55,19385,8939,10396
55-60,17461,8523,8938
60-65,16831,7836,8495
65-70,12698,6220,6478
70-75,9815,4784,5031
75-80,5974,3076,2898
80-85,2421,1208,1213
85-90,794,405,389
90-95,165,72,93
95-100,23,10,13
Oltre 100,4,3,1
Ignota,1722,814,908
TOTALE,366593,168983,197610
