Age_column,Total_column,Male_column,Female_column
0-1,10042,5092,4950
1-2,8629,4402,4227
2-3,9133,4649,4484
3-4,7786,4008,3778
4-5,8025,4028,3997
5-6,8362,4253,4109
6-7,7997,4093,3904
7-8,7077,3545,3532
8-9,7105,3608,3497
9-10,7139,3753,3386
10-11,7771,3997,3774
11-12,8062,4023,4039
12-13,7540,3822,3718
13-14,7251,3625,3626
14-15,7027,3530,3497
15-16,6713,3226,3487
16-17,6611,3143,3468
17-18,6208,2682,3526
18-19,5848,2375,3473
19-20,5065,1944,3121
20-21,4952,1841,3111
21-25,17916,6465,11451
25-30,20989,7690,13239
30-35,19079,7421,11658
35-40,18149,7398,10751
40-45,16815,7059,9756
45-50,17064,7496,9568
50-55,19050,8558,10492
55-60,18449,8730,9719
60-65,16920,8070,8850
65-70,11503,5544,5959
70-75,8666,4188,4478
75-80,5359,2611,2748
80-85,2166,1057,1109
85-90,628,315,313
90-95,127,59,68
95-100,6,1,5
Oltre 100,,,
Ignota,2389,1032,1357
TOTALE,349618,159333,190285
