Age_column,Total_column,Male_column,Female_column
0-1,15094,7762,7332
1-2,12400,6316,6084
2-3,12844,6572,6272
3-4,11627,6025,5602
4-5,11319,5790,5529
5-6,11110,5721,5389
6-7,10854,5555,5299
7-8,10383,5368,5015
8-9,9846,5081,4765
9-10,9051,4541,4510
10-11,9855,5011,4844
11-12,10269,5331,4938
12-13,10708,5686,5022
13-14,10412,5327,5085
14-15,9778,5069,4709
15-16,9550,4854,4696
16-17,10013,5131,4882
17-18,9164,4670,4494
18-19,8657,4242,4415
19-20,7697,3765,3932
20-21,8517,4176,4341
21-25,31046,14413,16633
25-30,33562,15607,17955
30-35,29769,14073,15696
35-40,26400,12392,14008
40-45,23521,11338,12183
45-50,22503,10736,11767
50-55,23227,11198,12029
55-60,18409,8948,9461
60-65,15620,7225,8395
65-70,10056,4709,5347
70-75,7169,3014,4125
75-80,3558,1543,2015
80-85,1731,693,1038
85-90,482,188,294
90-95,105,31,74
95-100,28,13,15
Oltre 100,2,,2
Ignota,684,305,379
TOTALE,467020,228449,238571
