Age_column,Total_column,Male_column,Female_column
0-1,27124,13907,13217
1-2,21047,10687,10360
2-3,22953,11789,11164
3-4,22566,11579,10987
4-5,21333,10838,10495
5-6,20770,10690,10080
6-7,20714,10663,10051
7-8,20172,10296,9876
8-9,18900,9622,9278
9-10,17491,8843,8648
10-11,19684,9802,9882
11-12,20411,10245,10166
12-13,21528,11026,10502
13-14,19837,9969,9868
14-15,18954,9421,9533
15-16,18329,9144,9185
16-17,17551,,9081
17-18,17083,8111,8972
18-19,17002,7888,9114
19-20,14365,6534,7831
20-21,16619,7753,8866
21-25,56184,25791,30393
25-30,61041,27807,33734
30-35,53949,25141,28808
35-40,47785,22658,25127
40-45,47546,22829,24717
45-50,42378,20604,21774
50-55,46086,22682,23404
55-60,34363,17212,17121
60-65,31704,15529,16175
65-70,21806,11001,10805
70-75,17379,8386,8993
75-80,8694,4420,4274
80-85,5208,2482,2726
85-90,1554,740,814
90-95,469,190,279
95-100,77,28,49
Oltre 100,6,1,5
Ignota,962,449,513
TOTALE,891624,434757,456867
