Age_column,Total_column,Male_column,Female_column
0-1,24643,12576,12067
1-2,21342,10803,10539
2-3,20997,10692,10305
3-4,19759,10009,9750
4-5,18544,9440,9104
5-6,18047,9253,8794
6-7,17729,8968,8761
7-8,15074,7685,7389
8-9,14313,7222,7091
9-10,13655,6991,6664
10-11,15082,7657,7425
11-12,16525,8471,8054
12-13,16405,8436,7969
13-14,15867,7899,7968
14-15,15801,8116,7685
15-16,14661,7320,7341
16-17,14575,7171,7404
17-18,14523,7082,7441
18-19,15478,7471,8007
19-20,13841,6622,7219
20-21,14384,7204,7180
21-25,52584,26066,26518
25-30,55509,26718,28791
30-35,49007,24079,24928
35-40,43954,21987,21967
40-45,40242,20287,19955
45-50,37198,18834,18364
50-55,35238,17887,17351
55-60,80994,15416,15578
60-65,25955,12774,13181
65-70,19277,9385,9892
70-75,14665,6927,7738
75-80,8494,3995,4499
80-85,4455,2006,2449
85-90,1488,688,800
90-95,358,130,228
95-100,53,16,37
Oltre 100,3,,3
Ignota,788,393,395
TOTALE,771507,384676,386831
