Age_column,Total_column,Male_column,Female_column
0-1,12223,6252,5971
1-2,11823,6060,5763
2-3,13457,6938,6519
3-4,12235,6236,5999
4-5,11706,5982,5724
5-6,11594,5947,5647
6-7,12217,6343,5874
7-8,10979,5613,5366
8-9,10803,5581,5222
9-10,9817,5027,4790
10-11,11272,5697,5575
11-12,11131,5852,5279
12-13,11826,6119,5707
13-14,11152,5735,5417
14-15,11148,5598,5550
15-16,11161,5498,5663
16-17,10395,4938,5457
17-18,9531,4368,5163
18-19,9249,4090,5159
19-20,7169,3067,4102
20-21,7776,3107,4669
21-25,26225,10015,16210
25-30,26082,9682,16400
30-35,24684,9626,15058
35-40,21793,8664,13129
40-45,22729,9242,13487
45-50,20092,8431,11661
50-55,23034,9844,13190
55-60,19039,8479,10560
60-65,19834,9026,10808
65-70,12750,6001,6749
70-75,10691,4885,5806
75-80,5316,2594,2722
80-85,3368,1553,1815
85-90,893,457,436
90-95,295,143,152
95-100,59,30,29
Oltre 100,9,4,5
Ignota,8444,3969,4475
TOTALE,474001,216693,257308
