Age_column,Total_column,Male_column,Female_column
0-1,12964,6679,6285
1-2,12866,6640,6226
2-3,14397,7386,7011
3-4,12248,6201,6047
4-5,11487,5825,5662
5-6,11588,5933,5650
6-7,11887,6160,5727
7-8,10844,5579,5265
8-9,10163,5198,4965
9-10,9872,5088,4784
10-11,10837,5460,5377
11-12,11089,5738,5351
12-13,11880,6184,5696
13-14,11233,5759,5474
14-15,11142,5484,5658
15-16,11057,5503,5554
16-17,10585,5071,5514
17-18,9024,4113,4911
18-19,9131,3967,5164
19-20,7389,2968,4421
20-21,8346,3497,4849
21-25,26438,10336,16102
25-30,27911,10221,17690
30-35,27009,10209,16800
35-40,24864,10017,14847
40-45,24931,10608,14323
45-50,23012,10164,12848
50-55,24458,11029,13429
55-60,20554,9867,10687
60-65,19033,9004,10029
65-70,12665,6172,6493
70-75,10415,4734,5681
75-80,5487,2660,2827
80-85,3010,1395,1615
85-90,833,408,425
90-95,257,113,144
95-100,53,22,31
Oltre 100,12,3,9
Ignota,2269,1121,1148
TOTALE,483235,222516,260719
