Age_column,Total_column,Male_column,Female_column
0-1,13230,6869,6361
1-2,11692,6063,5629
2-3,13387,7017,6370
3-4,11748,6103,5645
4-5,10572,5471,5101
5-6,10109,5183,4926
6-7,10807,5504,5303
7-8,9758,5014,4744
8-9,9422,4961,4461
9-10,8500,4433,4067
10-11,9355,4755,4600
11-12,9092,4752,4340
12-13,10152,5212,4940
13-14,9326,4784,4542
14-15,10271,5245,5026
15-16,9596,4753,4843
16-17,9412,4491,4921
17-18,8055,3690,4365
18-19,8542,3771,4771
19-20,7082,3011,4071
20-21,8023,3498,4525
21-25,25968,11068,14900
25-30,27285,10967,16318
30-35,25181,10602,14579
35-40,23570,10529,13041
40-45,22875,10818,12557
45-50,21383,10023,11360
50-55,23267,11117,12150
55-60,17986,9041,8945
60-65,17609,8796,8813
65-70,11980,5978,6002
70-75,9782,4910,4872
75-80,4881,2442,2439
80-85,2947,1463,1484
85-90,887,456,431
90-95,289,139,150
95-100,78,30,48
Oltre 100,12,5,7
Ignota,804,373,431
TOTALE,444915,212837,232078
