Age_column,Total_column,Male_column,Female_column
0-1,8930,4616,4314
1-2,8057,4185,3872
2-3,8395,4278,4117
3-4,7846,4134,3712
4-5,7684,3975,3709
5-6,7959,4133,3826
6-7,7887,4093,3794
7-8,7780,4039,3741
8-9,7635,3942,3693
9-10,7097,3633,3464
10-11,7711,3844,3867
11-12,7251,3692,3559
12-13,8169,4156,4013
13-14,7756,3945,3811
14-15,7871,4067,3804
15-16,7515,3814,3701
16-17,7467,3656,3811
17-18,6390,3038,8352
18-19,7227,3375,3852
19-20,6006,2845,3161
20-21,6877,3239,3638
21-25,22622,10657,11965
25-30,25188,11948,13240
30-35,23201,11175,12026
35-40,19864,9921,9943
40-45,17366,8555,8811
45-50,16826,8364,8462
50-55,17606,8720,8886
55-60,13640,6907,6733
60-65,13460,6402,7058
65-70,8362,4175,4187
70-75,6378,2933,3445
75-80,2960,1382,1578
80-85,1994,797,1197
85-90,602,237,365
90-95,179,55,124
95-100,31,10,21
Oltre 100,6,2,4
Ignota,7311,3623,3688
TOTALE,357106,176562,180544
