Age_column,Total_column,Male_column,Female_column
0-1,18607,9591,9016
1-2,17114,8964,8150
2-3,18202,9401,8801
3-4,17246,9019,8227
4-5,16902,8902,8000
5-6,16603,8613,7990
6-7,17221,9037,8184
7-8,16416,8802,7614
8-9,15976,8369,7607
9-10,15449,8193,7256
10-11,16723,8684,8039
11-12,17041,9082,7959
12-13,17978,9558,8420
13-14,16620,8773,7847
14-15,16426,8530,7896
15-16,16567,8425,8142
16-17,15777,8005,7772
17-18,14578,7484,7094
18-19,15512,7701,7811
19-20,13180,6602,6578
20-21,15445,7967,7478
21-25,53861,27432,26429
25-30,56500,26573,29927
30-35,51703,24622,27081
35-40,46136,21787,24349
40-45,45270,22602,22668
45-50,39871,19551,20320
50-55,41395,20861,20534
55-60,32178,16468,15710
60-65,32067,16118,15949
65-70,21088,10780,10308
70-75,15617,7816,7801
75-80,6582,3277,3305
80-85,4346,2043,2303
85-90,1385,639,746
90-95,408,177,231
95-100,63,27,36
Oltre 100,8,1,7
Ignota,1570,719,851
TOTALE,795631,401195,394436
