Age_column,Total_column,Male_column,Female_column
0-1,14173,7279,6894
1-2,12798,6629,6169
2-3,13500,7022,6478
3-4,11887,6121,5766
4-5,10986,5675,5311
5-6,11100,5617,5483
6-7,11174,5576,5598
7-8,10576,5478,5098
8-9,10158,5351,4802
9-10,9724,4882,4842
10-11,10787,5477,5310
11-12,10946,5519,5427
12-13,11462,5839,5623
13-14,11239,5694,5545
14-15,11416,5885,5531
15-16,11120,5492,5628
16-17,10670,5224,5446
17-18,9904,4635,5269
18-19,9989,4548,5391
19-20,8422,3706,4716
20-21,9430,4364,5066
21-25,32901,14672,18229
25-30,32509,13934,18575
30-35,30474,13442,17032
35-40,27221,12635,14586
40-45,27006,12617,14389
45-50,26333,12839,18494
50-55,26439,12890,13549
55-60,21505,10716,10789
60-65,20843,10238,10605
65-70,14019,7132,6887
70-75,11225,5508,5717
75-80,5893,3011,2882
80-85,3779,1851,1928
85-90,1220,632,588
90-95,375,165,210
95-100,89,35,54
Oltre 100,33,16,17
Ignota,3978,1549,2429
TOTALE,517248,249895,267353
