Age_column,Total_column,Male_column,Female_column
0-1,11262,5816,5446
1-2,10084,5212,4872
2-3,10449,5490,4959
3-4,9414,4959,4455
4-5,9344,4840,4504
5-6,9208,4845,4363
6-7,9330,4830,4500
7-8,8804,4629,4175
8-9,8847,4585,4262
9-10,8279,4283,3996
10-11,8606,4413,4193
11-12,8373,4406,3967
12-13,8567,4571,3996
13-14,8259,4359,3900
14-15,8069,4191,3878
15-16,7909,3953,3956
16-17,7813,3982,3831
17-18,7110,3632,3478
18-19,7535,3933,3602
19-20,5955,2945,3010
20-21,6833,3350,3483
21-25,24142,12122,12020
25-30,27461,13262,14199
30-35,24988,12169,12819
35-40,21996,10927,11069
40-45,20196,9938,10258
45-50,18513,9171,9342
50-55,19689,10049,9640
55-60,15705,8269,7436
60-65,14758,7299,7459
65-70,8984,1569,4415
70-75,6922,3432,3490
75-80,2895,1467,1428
80-85,1745,827,918
85-90,425,206,219
90-95,143,71,72
95-100,22,7,15
Oltre 100,1,1,
Ignota,5169,2660,2509
TOTALE,393804,199670,194134
