Age_column,Total_column,Male_column,Female_column
0-1,10667,5490,5177
1-2,9045,4611,4434
2-3,9201,4763,4438
3-4,7858,4150,3708
4-5,7837,4161,3676
5-6,7734,4061,3673
6-7,7672,3972,3700
7-8,7342,3856,3486
8-9,7307,3874,3433
9-10,6689,3417,3272
10-11,7173,3660,3513
11-12,6915,3558,3357
12-13,7779,4062,3717
13-14,7185,3776,3409
14-15,6962,3697,3265
15-16,6695,3502,3193
16-17,6434,3318,3116
17-18,6075,3148,2927
18-19,6610,,3197
19-20,5190,2607,2583
20-21,5839,2929,2910
21-25,20911,10439,10472
25-30,24369,11781,12588
30-35,22368,11085,11283
35-40,20086,10229,9857
40-45,17869,9079,8790
45-50,17075,8810,8265
50-55,18555,9658,8897
55-60,13232,7087,6145
60-65,12511,6431,6080
65-70,7275,3862,3413
70-75,5810,2928,2882
75-80,2283,1148,1135
80-85,1423,690,733
85-90,343,187,156
90-95,115,47,68
95-100,10,6,4
Oltre 100,3,1,2
Ignota,4110,2068,2012
TOTALE,342557,175561,166996
