Age_column,Total_column,Male_column,Female_column
0-1,22470,11543,10927
1-2,18651,9647,9004
2-3,19257,9794,9463
3-4,17750,9075,8675
4-5,17122,8819,8303
5-6,16620,8785,7835
6-7,16731,8728,8003
7-8,16325,8612,7713
8-9,16119,8496,7623
9-10,14991,7836,7155
10-11,16611,8568,8043
11-12,16993,8951,8042
12-13,17619,9361,8258
13-14,16698,8796,7902
14-15,17353,9188,8165
15-16,17251,8901,8350
16-17,16420,8514,7906
17-18,14598,7425,7173
18-19,15920,8246,7674
19-20,13166,6634,6532
20-21,15347,7713,7634
21-25,53001,26315,26686
25-30,58359,28619,29740
30-35,52630,25812,26818
35-40,46729,23195,23534
40-45,43670,21667,22003
45-50,39113,19907,19206
50-55,40302,20355,19947
55-60,29099,14947,14152
60-65,27211,13369,13842
65-70,15424,7913,7511
70-75,12717,6086,6631
75-80,5530,2716,2814
80-85,3782,1759,2023
85-90,1059,505,554
90-95,390,184,206
95-100,101,40,61
Oltre 100,10,4,6
Ignota,6008,3039,2969
TOTALE,789147,400064,389083
