Age_column,Total_column,Male_column,Female_column
0-1,12572,6429,6143
1-2,10804,5619,5185
2-3,12363,6403,5960
3-4,11026,5788,5238
4-5,10977,5737,5240
5-6,10052,5365,4687
6-7,10084,5402,4682
7-8,9947,5154,4793
8-9,10001,5180,4821
9-10,9454,4921,4533
10-11,9861,5144,4717
11-12,9227,4809,4418
12-13,10224,5399,4825
13-14,9790,5105,4685
14-15,10571,5448,5123
15-16,10111,5128,4983
16-17,10051,5159,4892
17-18,8335,4158,4177
18-19,10133,4964,5169
19-20,8278,4158,4120
20-21,10034,5043,4991
21-25,33358,16008,17350
25-30,36173,17275,18898
30-35,31998,15459,16539
35-40,25946,12803,13143
40-45,24785,12113,12672
45-50,22803,11647,11156
50-55,23647,11933,11714
55-60,17034,8868,8166
60-65,16196,7957,8239
65-70,9449,4817,4632
70-75,7414,3486,3928
75-80,2985,1459,1526
80-85,2118,931,1187
85-90,593,288,305
90-95,162,66,96
95-100,16,5,11
Oltre 100,3,2,1
Ignota,8190,4082,4108
TOTALE,476765,239712,237053
