Age_column,Total_column,Male_column,Female_column
0-1,9806,5010,4796
1-2,8628,4435,4193
2-3,8505,4413,4092
3-4,8387,4303,4084
4-5,8345,4275,4070
5-6,7754,3921,3833
6-7,7597,3867,3730
7-8,7266,3668,3598
8-9,7157,3632,3525
9-10,6934,3556,3378
10-11,7258,3666,3592
11-12,7185,3672,3513
12-13,6841,3615,3226
13-14,6615,3435,3180
14-15,,3416,3289
15-16,6571,3287,3284
16-17,6396,3133,3263
17-18,6467,3230,3237
18-19,6358,3092,3266
19-20,5365,2470,2895
20-21,,2929,3154
21-25,23802,12072,11730
25-30,24383,11619,12764
30-35,21363,10427,10936
35-40,19192,9676,9516
40-45,18078,9280,8798
45-50,16433,8462,7971
50-55,15055,7931,7124
55-60,11818,6116,5702
60-65,9901,4904,4997
65-70,7667,3969,3698
70-75,5930,2895,3035
75-80,3293,1746,1547
80-85,1718,854,864
85-90,439,214,225
90-95,135,65,70
95-100,30,13,17
Oltre 100,8,3,5
Ignota,726,342,384
TOTALE,332194,167613,164581
