Age_column,Total_column,Male_column,Female_column
0-1,15071,7810,7261
1-2,13216,6794,6422
2-3,13215,6709,6506
3-4,12816,6535,6281
4-5,12182,6157,5975
5-6,11881,6131,5750
6-7,11409,5882,5527
7-8,11291,5696,5595
8-9,10912,5626,5286
9-10,9966,5023,4943
10-11,10899,5556,5343
11-12,10258,5295,4963
12-13,9837,5129,4708
13-14,10084,5200,4884
14-15,10009,5133,4876
15-16,10146,5127,5019
16-17,9746,4788,4958
17-18,9873,4865,5008
18-19,10135,5055,5080
19-20,8895,4326,4569
20-21,9361,4645,4716
21-25,33612,16064,17548
25-30,38711,19043,19668
30-35,35869,17837,18032
35-40,32219,16434,15785
40-45,28859,14788,14071
45-50,26340,13478,12862
50-55,24933,12744,12189
55-60,20762,10629,10133
60-65,17312,8478,8834
65-70,12270,6149,6121
70-75,9058,4363,4695
75-80,4824,2482,2342
80-85,2245,1101,1144
85-90,587,270,317
90-95,215,77,138
95-100,67,33,34
Oltre 100,8,2,6
Ignota,1170,582,588
TOTALE,520213,262036,258177
